"plot","Row","plant.num","Species","Treatment","live_leaf_number","Status","aerial_cover"
1,1,4,"agave","S+W","P",0,25
1,1,8,"agave","S+W",NA,1,43
1,1,12,"agave","S+W","P",0,35
1,1,16,"agave","S+W","P",0,67
1,1,20,"agave","S+W","P",0,66
1,2,4,"agave","H",NA,1,12
1,2,8,"agave","H","10",1,12
1,2,12,"agave","H","P",0,12
1,2,16,"agave","H","10",1,12
1,2,20,"agave","H","7",1,12
1,3,4,"agave","W","P",0,7
1,3,8,"agave","W","P",0,7
1,3,12,"agave","W","P",0,6
1,3,16,"agave","W","P",0,20
1,3,20,"agave","W",NA,1,0
1,4,4,"agave","J+H","P",0,13
1,4,8,"agave","J+H","P",0,4
1,4,12,"agave","J+H","6",1,8
1,4,16,"agave","J+H","6",1,23
1,4,20,"agave","J+H","D",0,10
1,5,4,"agave","S+W",NA,1,8
1,5,8,"agave","S+W",NA,1,7
1,5,12,"agave","S+W",NA,1,2
1,5,16,"agave","S+W",NA,1,17
1,5,20,"agave","S+W",NA,1,5
1,6,4,"agave","J+W","D",0,12
1,6,8,"agave","J+W","7",1,15
1,6,12,"agave","J+W","14",1,30
1,6,16,"agave","J+W","7",1,22
1,6,20,"agave","J+W",NA,1,17
1,7,4,"agave","C","D",0,8
1,7,8,"agave","C","7",1,14
1,7,12,"agave","C","5",1,45
1,7,16,"agave","C","D",0,33
1,7,20,"agave","C","P",0,45
1,8,4,"agave","S","9",1,7
1,8,8,"agave","S","17",1,10
1,8,12,"agave","S","D",0,10
1,8,16,"agave","S","12",1,18
1,8,20,"agave","S","11",1,12
1,9,4,"agave","J+S","4",1,30
1,9,8,"agave","J+S",NA,1,60
1,9,12,"agave","J+S","2",1,8
1,9,16,"agave","J+S","9",1,40
1,9,20,"agave","J+S",NA,1,NA
1,10,4,"agave","J","6",1,13
1,10,8,"agave","J",NA,1,12
1,10,12,"agave","J",NA,1,15
1,10,16,"agave","J",NA,1,25
1,10,20,"agave","J",NA,1,30
2,1,4,"agave","W","P",0,13
2,1,8,"agave","W","P",0,8
2,1,12,"agave","W","P",0,5
2,1,16,"agave","W","P",0,9
2,1,20,"agave","W",NA,1,11
2,2,4,"agave","J","5",1,47
2,2,8,"agave","J","P",0,9
2,2,12,"agave","J","6",1,13
2,2,16,"agave","J","P",0,5
2,2,20,"agave","J","P",0,52
2,3,4,"agave","C","4",1,65
2,3,8,"agave","C","5",1,16
2,3,12,"agave","C","P",0,63
2,3,16,"agave","C","5",1,18
2,3,20,"agave","C","P",0,11
2,4,4,"agave","H","9",1,1
2,4,8,"agave","H","7",1,6
2,4,12,"agave","H","P",0,5
2,4,16,"agave","H","4",1,4
2,4,20,"agave","H","P",0,9
2,5,4,"agave","J+W","6",1,18
2,5,8,"agave","J+W","9",1,20
2,5,12,"agave","J+W","6",1,14
2,5,16,"agave","J+W","5",1,10
2,5,20,"agave","J+W","2",1,11
2,6,4,"agave","J+H","9",1,5
2,6,8,"agave","J+H",NA,1,4
2,6,12,"agave","J+H","P",0,12
2,6,16,"agave","J+H","P",0,13
2,6,20,"agave","J+H","P",0,5
2,7,4,"agave","J+S","11",1,38
2,7,8,"agave","J+S","8",1,23
2,7,12,"agave","J+S","8",1,28
2,7,16,"agave","J+S","5",1,52
2,7,20,"agave","J+S","5",1,22
2,8,4,"agave","S+H","P",0,3
2,8,8,"agave","S+H","P",0,14
2,8,12,"agave","S+H","P",0,6
2,8,16,"agave","S+H","D",0,3
2,8,20,"agave","S+H","D",0,10
2,9,4,"agave","S+W","P",0,30
2,9,8,"agave","S+W","6",1,28
2,9,12,"agave","S+W","8",1,25
2,9,16,"agave","S+W","P",0,33
2,9,20,"agave","S+W",NA,1,30
2,10,4,"agave","S",NA,1,4
2,10,8,"agave","S","7",1,26
2,10,12,"agave","S","7",1,36
2,10,16,"agave","S","5",1,55
2,10,20,"agave","S","P",0,74
3,1,4,"agave","J+W","P",0,66
3,1,8,"agave","J+W","P",0,56
3,1,12,"agave","J+W","P",0,68
3,1,16,"agave","J+W","P",0,67
3,1,20,"agave","J+W","P",0,40
3,2,4,"agave","J+W","P",0,82
3,2,8,"agave","J+W","P",0,48
3,2,12,"agave","J+W","P",0,65
3,2,16,"agave","J+W","P",0,72
3,2,20,"agave","J+W","P",0,67
3,3,4,"agave","S+H","P",0,33
3,3,8,"agave","S+H","P",0,27
3,3,12,"agave","S+H","P",0,23
3,3,16,"agave","S+H","P",0,23
3,3,20,"agave","S+H","P",0,35
3,4,4,"agave","H","P",0,28
3,4,8,"agave","H","P",0,51
3,4,12,"agave","H","P",0,55
3,4,16,"agave","H","P",0,42
3,4,20,"agave","H","P",0,70
3,5,4,"agave","C","P",0,48
3,5,8,"agave","C","P",0,65
3,5,12,"agave","C","P",0,40
3,5,16,"agave","C","P",0,83
3,5,20,"agave","C","P",0,65
3,6,4,"agave","J+H","P",0,7
3,6,8,"agave","J+H","P",0,3
3,6,12,"agave","J+H","P",0,7
3,6,16,"agave","J+H","P",0,5
3,6,20,"agave","J+H","P",0,2
3,7,4,"agave","S+W","P",0,22
3,7,8,"agave","S+W","P",0,18
3,7,12,"agave","S+W","P",0,9
3,7,16,"agave","S+W","P",0,12
3,7,20,"agave","S+W","P",0,8
3,8,4,"agave","J+S","P",0,13
3,8,8,"agave","J+S","6",1,6
3,8,12,"agave","J+S","7",1,16
3,8,16,"agave","J+S","8",1,20
3,8,20,"agave","J+S","P",0,12
3,9,4,"agave","S","P",0,22
3,9,8,"agave","S","P",0,23
3,9,12,"agave","S","8",1,11
3,9,16,"agave","S","8",1,50
3,9,20,"agave","S","P",0,11
3,10,4,"agave","J","P",0,25
3,10,8,"agave","J","P",0,18
3,10,12,"agave","J","P",0,15
3,10,16,"agave","J","P",0,9
3,10,20,"agave","J","P",0,8
4,1,4,"agave","S+W","P",0,10
4,1,8,"agave","S+W","P",0,11
4,1,12,"agave","S+W","D/P",0,10
4,1,16,"agave","S+W","P",0,11
4,1,20,"agave","S+W","P",0,15
4,2,4,"agave","J+H","8",1,10
4,2,8,"agave","J+H","P",0,3
4,2,12,"agave","J+H","D",0,6
4,2,16,"agave","J+H","P",0,3
4,2,20,"agave","J+H","P",0,3
4,3,4,"agave","S+H","5",1,8
4,3,8,"agave","S+H","P",0,12
4,3,12,"agave","S+H","P",0,4
4,3,16,"agave","S+H","8",1,5
4,3,20,"agave","S+H","P",0,5
4,4,4,"agave","S","3",1,38
4,4,8,"agave","S","3",1,35
4,4,12,"agave","S","9",1,33
4,4,16,"agave","S","9",1,30
4,4,20,"agave","S","P",0,45
4,5,4,"agave","C","P",0,52
4,5,8,"agave","C","3",1,33
4,5,12,"agave","C","6",1,0
4,5,16,"agave","C","P",0,20
4,5,20,"agave","C","4",1,36
4,6,4,"agave","J+S","9",1,33
4,6,8,"agave","J+S","8",1,22
4,6,12,"agave","J+S","P",0,2
4,6,16,"agave","J+S","15",1,39
4,6,20,"agave","J+S","13",1,15
4,7,4,"agave","H","P",0,8
4,7,8,"agave","H","P",0,3
4,7,12,"agave","H","4",1,2
4,7,16,"agave","H","8",1,3
4,7,20,"agave","H","P",0,7
4,8,4,"agave","J+W","6",1,10
4,8,8,"agave","J+W","7",1,15
4,8,12,"agave","J+W","10",1,10
4,8,16,"agave","J+W","4",1,12
4,8,20,"agave","J+W","10",1,6
4,9,4,"agave","W","P",0,13
4,9,8,"agave","W","P",0,2
4,9,12,"agave","W","P",0,5
4,9,16,"agave","W","8",1,4
4,9,20,"agave","W","P",0,9
4,10,4,"agave","J","P",0,10
4,10,8,"agave","J","P",0,13
4,10,12,"agave","J","P",0,12
4,10,16,"agave","J","P",0,8
4,10,20,"agave","J","P",0,4
5,1,4,"agave","S+W","P",0,12
5,1,8,"agave","S+W","P",0,18
5,1,12,"agave","S+W","P",0,20
5,1,16,"agave","S+W","D/P",0,35
5,1,20,"agave","S+W","P",0,9
5,2,4,"agave","S","P",0,22
5,2,8,"agave","S","7",1,23
5,2,12,"agave","S","10",1,15
5,2,16,"agave","S","P",0,13
5,2,20,"agave","S","P",0,20
5,3,4,"agave","S+H","P",0,15
5,3,8,"agave","S+H","D/P",0,6
5,3,12,"agave","S+H","6",1,17
5,3,16,"agave","S+H","P",0,29
5,3,20,"agave","S+H","P",0,25
5,4,4,"agave","W","P",0,8
5,4,8,"agave","W","P",0,7
5,4,12,"agave","W","P",0,1
5,4,16,"agave","W","P",0,8
5,4,20,"agave","W","P",0,11
5,5,4,"agave","S+W","P",0,10
5,5,8,"agave","S+W","P",0,3
5,5,12,"agave","S+W","P",0,0
5,5,16,"agave","S+W","P",0,5
5,5,20,"agave","S+W","P",0,3
5,6,4,"agave","J","9",1,28
5,6,8,"agave","J","2",1,17
5,6,12,"agave","J","5",1,3
5,6,16,"agave","J","P",0,13
5,6,20,"agave","J","P",0,10
5,7,4,"agave","S+H","P",0,13
5,7,8,"agave","S+H","3",1,6
5,7,12,"agave","S+H","P",0,4
5,7,16,"agave","S+H","P",0,4
5,7,20,"agave","S+H","P",0,3
5,8,4,"agave","J+W","3",1,8
5,8,8,"agave","J+W","8",1,6
5,8,12,"agave","J+W","10",1,2
5,8,16,"agave","J+W","5",1,4
5,8,20,"agave","J+W","P",0,4
5,9,4,"agave","H","4",1,4
5,9,8,"agave","H","P",0,11
5,9,12,"agave","H","P",0,7
