"plot","Row","plant.num","Species","Treatment","live_leaf_number","Status","aerial_cover"
1,2,8,"agave","H",10,1,12
1,2,16,"agave","H",10,1,12
1,2,20,"agave","H",7,1,12
1,4,12,"agave","J+H",6,1,8
1,4,16,"agave","J+H",6,1,23
1,6,8,"agave","J+W",7,1,15
1,6,12,"agave","J+W",14,1,30
1,6,16,"agave","J+W",7,1,22
1,7,8,"agave","C",7,1,14
1,7,12,"agave","C",5,1,45
1,8,4,"agave","S",9,1,7
1,8,8,"agave","S",17,1,10
1,8,16,"agave","S",12,1,18
1,9,4,"agave","J+S",4,1,30
1,9,12,"agave","J+S",2,1,8
1,9,16,"agave","J+S",9,1,40
1,10,4,"agave","J",6,1,13
2,2,4,"agave","J",5,1,47
2,2,12,"agave","J",6,1,13
2,3,4,"agave","C",4,1,65
2,3,8,"agave","C",5,1,16
2,3,16,"agave","C",5,1,18
2,4,4,"agave","H",9,1,1
2,4,8,"agave","H",7,1,6
2,4,16,"agave","H",4,1,4
2,5,4,"agave","J+W",6,1,18
2,5,8,"agave","J+W",9,1,20
2,5,12,"agave","J+W",6,1,14
2,6,4,"agave","J+H",9,1,5
2,7,4,"agave","J+S",11,1,38
2,7,8,"agave","J+S",8,1,23
2,7,12,"agave","J+S",8,1,28
2,9,8,"agave","S+W",6,1,28
2,9,12,"agave","S+W",8,1,25
2,10,8,"agave","S",7,1,26
2,10,12,"agave","S",7,1,36
2,10,16,"agave","S",5,1,55
3,8,8,"agave","J+S",6,1,6
3,8,12,"agave","J+S",7,1,16
3,8,16,"agave","J+S",8,1,20
3,9,12,"agave","S",8,1,11
3,9,16,"agave","S",8,1,50
4,2,4,"agave","J+H",8,1,10
4,3,4,"agave","S+H",5,1,8
4,3,16,"agave","S+H",8,1,5
4,4,4,"agave","S",3,1,38
4,4,8,"agave","S",3,1,35
4,4,12,"agave","S",9,1,33
4,5,8,"agave","C",3,1,33
4,5,12,"agave","C",6,1,0
4,5,20,"agave","C",4,1,36
4,6,4,"agave","J+S",9,1,33
4,6,8,"agave","J+S",8,1,22
4,6,16,"agave","J+S",15,1,39
4,7,12,"agave","H",4,1,2
4,7,16,"agave","H",8,1,3
4,8,4,"agave","J+W",6,1,10
4,8,8,"agave","J+W",7,1,15
4,8,12,"agave","J+W",10,1,10
4,9,16,"agave","W",8,1,4
5,2,8,"agave","S",7,1,23
5,2,12,"agave","S",10,1,15
5,3,12,"agave","S+H",6,1,17
5,6,4,"agave","J",9,1,28
5,6,8,"agave","J",2,1,17
5,6,12,"agave","J",5,1,3
5,7,8,"agave","S+H",3,1,6
5,8,4,"agave","J+W",3,1,8
5,8,8,"agave","J+W",8,1,6
5,8,12,"agave","J+W",10,1,2
5,9,4,"agave","H",4,1,4
5,10,8,"agave","J+S",3,1,28
5,10,12,"agave","J+S",7,1,22
5,10,16,"agave","J+S",8,1,20
