plot,Row,plant num,Species,Treatment,live_leaf_number,areial_cover(%
1,1,4,agave,S+W,P,NA
1,1,8,agave,S+W,L,NA
1,1,12,agave,S+W,P,NA
1,1,16,agave,S+W,P,NA
1,1,20,agave,S+W,P,NA
1,1,4,Lehmann lovegarss,S+W,NA,25
1,1,8,Lehmann lovegarss,S+W,NA,43
1,1,12,Lehmann lovegarss,S+W,NA,35
1,1,16,Lehmann lovegarss,S+W,NA,67
1,1,20,Lehmann lovegarss,S+W,NA,66
1,2,4,agave,H,NA,NA
1,2,8,agave,H,10,NA
1,2,12,agave,H,P,NA
1,2,16,agave,H,10,NA
1,2,20,agave,H,7,NA
1,2,4,Lehmann lovegarss,H,NA,12
1,2,8,Lehmann lovegarss,H,NA,12
1,2,12,Lehmann lovegarss,H,NA,12
1,2,16,Lehmann lovegarss,H,NA,12
1,2,20,Lehmann lovegarss,H,NA,12
1,3,4,agave,W,P,NA
1,3,8,agave,W,P,NA
1,3,12,agave,W,P,NA
1,3,16,agave,W,P,NA
1,3,20,agave,W,NA,NA
1,3,4,Lehmann lovegarss,W,NA,7
1,3,8,Lehmann lovegarss,W,NA,7
1,3,12,Lehmann lovegarss,W,NA,6
1,3,16,Lehmann lovegarss,W,NA,20
1,3,20,Lehmann lovegarss,W,NA,0
1,4,4,agave,J+H,P,NA
1,4,8,agave,J+H,P,NA
1,4,12,agave,J+H,6,NA
1,4,16,agave,J+H,6,NA
1,4,20,agave,J+H,D,NA
1,4,4,Lehmann lovegarss,J+H,NA,13
1,4,8,Lehmann lovegarss,J+H,NA,4
1,4,12,Lehmann lovegarss,J+H,NA,8
1,4,16,Lehmann lovegarss,J+H,NA,23
1,4,20,Lehmann lovegarss,J+H,NA,10
1,5,4,agave,S+W,NA,NA
1,5,8,agave,S+W,NA,NA
1,5,12,agave,S+W,NA,NA
1,5,16,agave,S+W,NA,NA
1,5,20,agave,S+W,NA,NA
1,5,4,Lehmann lovegarss,S+W,NA,8
1,5,8,Lehmann lovegarss,S+W,NA,7
1,5,12,Lehmann lovegarss,S+W,NA,2
1,5,16,Lehmann lovegarss,S+W,NA,17
1,5,20,Lehmann lovegarss,S+W,NA,5
1,6,4,agave,W+J,D,NA
1,6,8,agave,W+J,7,NA
1,6,12,agave,W+J,14,NA
1,6,16,agave,W+J,7,NA
1,6,20,agave,W+J,NA,NA
1,6,4,Lehmann lovegarss,W+J,NA,12
1,6,8,Lehmann lovegarss,W+J,NA,15
1,6,12,Lehmann lovegarss,W+J,NA,30
1,6,16,Lehmann lovegarss,W+J,NA,22
1,6,20,Lehmann lovegarss,W+J,NA,17
1,7,4,agave,C,D,NA
1,7,8,agave,C,7,NA
1,7,12,agave,C,5,NA
1,7,16,agave,C,D,NA
1,7,20,agave,C,P,NA
1,7,4,Lehmann lovegarss,C,NA,8
1,7,8,Lehmann lovegarss,C,NA,14
1,7,12,Lehmann lovegarss,C,NA,45
1,7,16,Lehmann lovegarss,C,NA,33
1,7,20,Lehmann lovegarss,C,NA,45
1,8,4,agave,S,9,NA
1,8,8,agave,S,17,NA
1,8,12,agave,S,D,NA
1,8,16,agave,S,12,NA
1,8,20,agave,S,11,NA
1,8,4,Lehmann lovegarss,S,NA,7
1,8,8,Lehmann lovegarss,S,NA,10
1,8,12,Lehmann lovegarss,S,NA,10
1,8,16,Lehmann lovegarss,S,NA,18
1,8,20,Lehmann lovegarss,S,NA,12
1,9,4,agave,J+S,4,NA
1,9,8,agave,J+S,NA,NA
1,9,12,agave,J+S,2,NA
1,9,16,agave,J+S,9,NA
1,9,20,agave,J+S,NA,NA
1,9,4,Lehmann lovegarss,J+S,NA,30
1,9,8,Lehmann lovegarss,J+S,NA,60
1,9,12,Lehmann lovegarss,J+S,NA,8
1,9,16,Lehmann lovegarss,J+S,NA,40
1,9,20,Lehmann lovegarss,J+S,NA,NA
1,10,4,agave,J,6,NA
1,10,8,agave,J,NA,NA
1,10,12,agave,J,NA,NA
1,10,16,agave,J,NA,NA
1,10,20,agave,J,NA,NA
1,10,4,Lehmann lovegarss,J,NA,13
1,10,8,Lehmann lovegarss,J,NA,12
1,10,12,Lehmann lovegarss,J,NA,15
1,10,16,Lehmann lovegarss,J,NA,25
1,10,20,Lehmann lovegarss,J,NA,30
2,1,4,agave,W,P,NA
2,1,8,agave,W,P,NA
2,1,12,agave,W,P,NA
2,1,16,agave,W,P,NA
2,1,20,agave,W,NA,NA
2,1,4,Lehmann lovegarss,W,NA,13
2,1,8,Lehmann lovegarss,W,NA,8
2,1,12,Lehmann lovegarss,W,NA,5
2,1,16,Lehmann lovegarss,W,NA,9
2,1,20,Lehmann lovegarss,W,NA,11
2,2,4,agave,J,5,NA
2,2,8,agave,J,P,NA
2,2,12,agave,J,6,NA
2,2,16,agave,J,P,NA
2,2,20,agave,J,P,NA
2,2,4,Lehmann lovegarss,J,NA,47
2,2,8,Lehmann lovegarss,J,NA,9
2,2,12,Lehmann lovegarss,J,NA,13
2,2,16,Lehmann lovegarss,J,NA,5
2,2,20,Lehmann lovegarss,J,NA,52
2,3,4,agave,C,4,NA
2,3,8,agave,C,5,NA
2,3,12,agave,C,P,NA
2,3,16,agave,C,5,NA
2,3,20,agave,C,P,NA
2,3,4,Lehmann lovegarss,C,NA,65
2,3,8,Lehmann lovegarss,C,NA,16
2,3,12,Lehmann lovegarss,C,NA,63
2,3,16,Lehmann lovegarss,C,NA,18
2,3,20,Lehmann lovegarss,C,NA,11
2,4,4,agave,H,9,NA
2,4,8,agave,H,7,NA
2,4,12,agave,H,P,NA
2,4,16,agave,H,4,NA
2,4,20,agave,H,P,NA
2,4,4,Lehmann lovegarss,H,NA,1
2,4,8,Lehmann lovegarss,H,NA,6
2,4,12,Lehmann lovegarss,H,NA,5
2,4,16,Lehmann lovegarss,H,NA,4
2,4,20,Lehmann lovegarss,H,NA,9
2,5,4,agave,J+W,6,NA
2,5,8,agave,J+W,9,NA
2,5,12,agave,J+W,6,NA
2,5,16,agave,J+W,5,NA
2,5,20,agave,J+W,2,NA
2,5,4,Lehmann lovegarss,J+W,NA,18
2,5,8,Lehmann lovegarss,J+W,NA,20
2,5,12,Lehmann lovegarss,J+W,NA,14
2,5,16,Lehmann lovegarss,J+W,NA,10
2,5,20,Lehmann lovegarss,J+W,NA,11
2,6,4,agave,J+H,9,NA
2,6,8,agave,J+H,NA,NA
2,6,12,agave,J+H,P,NA
2,6,16,agave,J+H,P,NA
2,6,20,agave,J+H,P,NA
2,6,4,Lehmann lovegarss,J+H,NA,5
2,6,8,Lehmann lovegarss,J+H,NA,4
2,6,12,Lehmann lovegarss,J+H,NA,12
2,6,16,Lehmann lovegarss,J+H,NA,13
2,6,20,Lehmann lovegarss,J+H,NA,5
2,7,4,agave,S+J,11,NA
2,7,8,agave,S+J,8,NA
2,7,12,agave,S+J,8,NA
2,7,16,agave,S+J,5,NA
2,7,20,agave,S+J,5,NA
2,7,4,Lehmann lovegarss,S+J,NA,38
2,7,8,Lehmann lovegarss,S+J,NA,23
2,7,12,Lehmann lovegarss,S+J,NA,28
2,7,16,Lehmann lovegarss,S+J,NA,52
2,7,20,Lehmann lovegarss,S+J,NA,22
2,8,4,agave,S+H,P,NA
2,8,8,agave,S+H,P,NA
2,8,12,agave,S+H,P,NA
2,8,16,agave,S+H,D,NA
2,8,20,agave,S+H,D,NA
2,8,4,Lehmann lovegarss,S+H,NA,3
2,8,8,Lehmann lovegarss,S+H,NA,14
2,8,12,Lehmann lovegarss,S+H,NA,6
2,8,16,Lehmann lovegarss,S+H,NA,3
2,8,20,Lehmann lovegarss,S+H,NA,10
2,9,4,agave,S+W,P,NA
2,9,8,agave,S+W,6,NA
2,9,12,agave,S+W,8,NA
2,9,16,agave,S+W,P,NA
2,9,20,agave,S+W,NA,NA
2,9,4,Lehmann lovegarss,S+W,NA,30
2,9,8,Lehmann lovegarss,S+W,NA,28
2,9,12,Lehmann lovegarss,S+W,NA,25
2,9,16,Lehmann lovegarss,S+W,NA,33
2,9,20,Lehmann lovegarss,S+W,NA,30
2,10,4,agave,S,NA,NA
2,10,8,agave,S,7,NA
2,10,12,agave,S,7,NA
2,10,16,agave,S,5,NA
2,10,20,agave,S,P,NA
2,10,4,Lehmann lovegarss,S,NA,4
2,10,8,Lehmann lovegarss,S,NA,26
2,10,12,Lehmann lovegarss,S,NA,36
2,10,16,Lehmann lovegarss,S,NA,55
2,10,20,Lehmann lovegarss,S,NA,74
3,1,4,agave,J+W,P,NA
3,1,8,agave,J+W,P,NA
3,1,12,agave,J+W,P,NA
3,1,16,agave,J+W,P,NA
3,1,20,agave,J+W,P,NA
3,1,4,Lehmann lovegarss,J+W,NA,66
3,1,8,Lehmann lovegarss,J+W,NA,56
3,1,12,Lehmann lovegarss,J+W,NA,68
3,1,16,Lehmann lovegarss,J+W,NA,67
3,1,20,Lehmann lovegarss,J+W,NA,40
3,2,4,agave,J+W,P,NA
3,2,8,agave,J+W,P,NA
3,2,12,agave,J+W,P,NA
3,2,16,agave,J+W,P,NA
3,2,20,agave,J+W,P,NA
3,2,4,Lehmann lovegarss,J+W,NA,82
3,2,8,Lehmann lovegarss,J+W,NA,48
3,2,12,Lehmann lovegarss,J+W,NA,65
3,2,16,Lehmann lovegarss,J+W,NA,72
3,2,20,Lehmann lovegarss,J+W,NA,67
3,3,4,agave,S+H,P,NA
3,3,8,agave,S+H,P,NA
3,3,12,agave,S+H,P,NA
3,3,16,agave,S+H,P,NA
3,3,20,agave,S+H,P,NA
3,3,4,Lehmann lovegarss,S+H,NA,33
3,3,8,Lehmann lovegarss,S+H,NA,27
3,3,12,Lehmann lovegarss,S+H,NA,23
3,3,16,Lehmann lovegarss,S+H,NA,23
3,3,20,Lehmann lovegarss,S+H,NA,35
3,4,4,agave,H,P,NA
3,4,8,agave,H,P,NA
3,4,12,agave,H,P,NA
3,4,16,agave,H,P,NA
3,4,20,agave,H,P,NA
3,4,4,Lehmann lovegarss,H,NA,28
3,4,8,Lehmann lovegarss,H,NA,51
3,4,12,Lehmann lovegarss,H,NA,55
3,4,16,Lehmann lovegarss,H,NA,42
3,4,20,Lehmann lovegarss,H,NA,70
3,5,4,agave,C,P,NA
3,5,8,agave,C,P,NA
3,5,12,agave,C,P,NA
3,5,16,agave,C,P,NA
3,5,20,agave,C,P,NA
3,5,4,Lehmann lovegarss,C,NA,48
3,5,8,Lehmann lovegarss,C,NA,65
