"coefficient","estimate","std.error","z.value","p.value"
"(Intercept)",1.58280936570301,0.166787179381388,9.48999420443242,2.3104711244457e-21
"H",0.354794115368018,0.213757625796001,1.65979629520499,0.0969554393137328
"J",0.119981144736865,0.246087505422505,0.487554801008162,0.625865217393711
"J+H",0.398882946286482,0.254268695600049,1.56874579210452,0.116707183933075
"J+S",0.433170289512349,0.194816867487004,2.22347425610487,0.026183837435732
"J+W",0.46199159072631,0.20039601890355,2.30539305747718,0.0211445699703902
"S",0.502659062168994,0.196677712372426,2.55574999376221,0.0105959217563111
"S+H",0.115824636826379,0.275222383938338,0.420840177201318,0.673871791307892
"S+W",0.36017917439532,0.324946953813555,1.10842452950638,0.267678516120622
"W",0.493638511734787,0.39895057787548,1.23734251586637,0.215959950073979
